Painter Name,Birth Year,Death Year,Nationality
William Dobson,1611,1646,British
George Jamesone,1587,1644,British
Godfrey Kneller,1646,1723,British
Peter Lely ,1618,1680,British
Daniël Mijtens,1590,1648,British
John Michael Wright,1617,1694,British
Rembrandt,1606,1669,Dutch
Hendrick Avercamp,1585,1634,Dutch
Gerard ter Borch,1617,1681,Dutch
Adriaen Brouwer,1605,1638,Dutch
Aelbert Cuyp,1620,1691,Dutch
Gerrit Dou,1613,1675,Dutch
Jan van Goyen,1596,1656,Dutch
Frans Hals,1580,1666,Dutch
Meindert Hobbema,1638,1709,Dutch
Gerard van Honthorst,1592,1656,Dutch
Pieter de Hooch,1629,1684,Dutch
Willem Kalf,1619,1693,Dutch
Pieter van Laer,1599,1642,Dutch
Judith Leyster,1609,1660,Dutch
Gabriël Metsu,1629,1667,Dutch
Adriaen van Ostade,1610,1685,Dutch
Jacob van Ruisdael,1628,1682,Dutch
Salomon van Ruysdael,1602,1670,Dutch
Pieter Jansz. Saenredam,1597,1665,Dutch
Johannes Vermeer,1632,1675,Dutch
Jan Steen,1626,1679,Dutch
Václav Hollar ,1607,1677,Czech
Karel Škréta,1610,1674,Czech
Petr Brandl,1668,1735,Czech
Václav Vavřinec Reiner,1686,1743,Czech
Peter Paul Rubens,1577,1640,Flemish
Anthony van Dyck,1599,1641,Flemish
Jacob Jordaens,1593,1678,Flemish
Jan Brueghel the Elder,1568,1625,Flemish
Frans Francken the Younger,1581,1642,Flemish
Clara Peeters,1594,1657,Flemish
Gerard Seghers,1591,1651,Flemish
Frans Snyders,1579,1657,Flemish
David Teniers the Younger,1610,1691,Flemish
Adriaen van Utrecht,1599,1652,Flemish
Cornelis de Vos,1584,1651,Flemish
Valentin de Boulogne,1591,1632,French
Philippe de Champaigne,1602,1674,French
Laurent de La Hyre,1606,1656,French
Georges de La Tour,1593,1652,French
Charles Le Brun,1619,1690,French
Antoine Le Nain,1599,1648,French
Louis Le Nain,1593,1648,French
Mathieu Le Nain,1607,1677,French
Eustache Le Sueur,1617,1655,French
Claude Lorrain,1600,1682,French
Pierre Mignard,1612,1695,French
Hyacinthe Rigaud,1659,1743,French
Nicolas Poussin,1594,1665,French
Simon Vouet,1590,1649,French
Cosmas Damian Asam ,1686,1739,German
Adam Elsheimer,1578,1610,German
Johann Liss,1590,1627,German
Sebastian Stoskopff,1597,1657,German
Ádám Mányoki,1673,1757,Hungarian
Federico Barocci,1535,1612,Italian
Jacopo Chimenti,1554,1640,Italian
Giovanni Battista Paggi,1554,1627,Italian
Antonio Tempesta ,1555,1630,Italian
Bartolomeo Cesi,1556,1629,Italian
Alessandro Maganza,1556,1640,Italian
Bernardo Castello,1557,1629,Italian
Lodovico Cigoli,1559,1613,Italian
Enea Talpino,1559,1626,Italian
Bartolommeo Carducci,1560,1610,Italian
Caravaggio,1571,1610,Italian
Guercino,1591,1666,Italian
Annibale Carracci,1560,1609,Italian
Guido Reni,1575,1642,Italian
Giuseppe Passeri,1654,1714,Italian
Orazio Gentileschi,1563,1639,Italian
Artemisia Gentileschi,1592,1656,Italian
Domenichino,1581,1641,Italian
Agostino Carracci,1557,1602,Italian
Ludovico Carracci,1555,1619,Italian
Bernardo Strozzi,1581,1644,Italian
Pietro da Cortona,1596,1669,Italian
Gregorio Preti,1603,1672,Italian
Francesco Cozza,1605,1682,Italian
Mattia Preti,1613,1699,Italian
Andrea Pozzo,1642,1709,Italian
Salvator Rosa,1615,1673,Italian
José Antolínez,1635,1675,Spanish
Alonso Cano,1601,1667,Spanish
Juan Carreño de Miranda,1614,1685,Spanish
Claudio Coello,1642,1693,Spanish
Juan van der Hamen,1596,1631,Spanish
Juan Bautista Maíno,1569,1649,Spanish
Juan Bautista Martínez del Mazo,1612,1667,Spanish
Bartolomé Esteban Murillo,1617,1667,Spanish
Antonio de Pereda,1611,1678,Spanish
Lorenzo Quiros,1717,1789,Spanish
Francisco Ribalta,1565,1628,Spanish
"José de Ribera, Lo Spagnoletto",1591,1652,Spanish
Juan de Valdés Leal,1622,1690,Spanish
Diego Velázquez,1599,1660,Spanish
Tomás Yepes,1595,1674,Spanish
Francisco Zurbarán,1598,1664,Spanish
